Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Continent,Rarest_Blood_Type,Diversity_Index
Japan,125507472.0,29.9,39.8,19.9,9.9,0.15,0.2,0.1,0.05,Asia,AB-,1.310782308718615
Jordan,10909567.0,33.03,32.86,16.56,6.28,4.4,3.97,2.06,0.04,Asia,AB-,1.5563072153034274
Kazakhstan,19091949.0,30.7,29.8,24.2,8.3,2.3,2.2,1.8,0.4,Asia,AB-,1.5400025375728916
Kenya,53527936.0,45.6,25.2,21.28,4.2,1.8,1.0,0.9,0.02,Africa,AB-,1.3303115608481044
Laos,7574356.0,37.52,19.73,35.36,6.85,0.2,0.1,0.2,0.05,Asia,AB-,1.2748118148290968
Latvia,1881232.0,30.6,31.0,17.0,6.0,5.4,6.0,3.0,1.0,Europe,AB-,1.6731268329066866
Lebanon,5469612.0,38.4,32.3,9.5,3.2,7.7,6.5,1.7,0.7,Asia,AB-,1.5454107968775963
Libya,6890535.0,42.64,20.86,11.19,4.5,7.26,3.24,1.64,0.67,Africa,AB-,1.5226077636314224
Liechtenstein,39137.0,34.0,37.0,10.0,4.0,6.0,6.5,1.8,0.7,Europe,AB-,1.5472015511830794
Lithuania,2731464.0,36.0,33.0,11.0,4.0,7.0,6.0,2.0,0.7,Europe,AB-,1.5748637058825994
Luxembourg,628381.0,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0,Europe,AB-,1.5426826704648127
Macao,614458.0,41.5,26.1,25.4,6.3,0.33,0.09,0.17,0.05,Asia,AB-,1.277801068581177
Malaysia,32652083.0,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04,Asia,AB-,1.3101139930531676
Malta,457267.0,38.0,41.0,7.0,3.0,5.0,4.5,1.0,0.5,Europe,AB-,1.3864611762755459
Mauritania,4005475.0,46.3,26.68,17.47,3.85,2.8,1.6,1.1,0.2,Africa,AB-,1.367544638527134
Mauritius,1379365.0,38.3,26.0,25.0,6.7,1.7,1.0,1.0,0.3,Africa,AB-,1.4242888535223153
Mexico,128649565.0,59.09,26.23,8.53,1.73,2.73,1.21,0.4,0.08,North America,AB-,1.1215748918150212
Moldova,3364496.0,28.5,31.8,17.6,7.0,5.0,6.0,3.0,1.1,Europe,AB-,1.6873890793559254
