Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Saudi Arabia,34173498.0,47.8,16.0,17.9,4.0,4.0,2.0,1.0,0.3
Serbia,7012165.0,31.92,35.28,12.6,4.2,6.08,6.72,2.4,0.8
Singapore,6209660.0,44.7,23.9,24.5,5.6,0.6,0.3,0.3,0.1
Slovakia,5440602.0,27.2,35.7,15.3,6.8,4.8,6.3,2.7,1.2
Slovenia,2102678.0,31.0,33.0,12.0,6.0,7.0,7.0,3.0,1.0
Somalia,12094640.0,52.8,19.36,12.32,3.52,7.2,2.64,1.68,0.48
South Africa,56463617.0,39.0,32.0,12.0,3.0,6.0,5.0,2.0,1.0
South Korea,51835110.0,29.0,32.0,31.0,8.0,0.19,0.1,0.1,0.01
Sri Lanka,23044123.0,43.42,21.0,25.78,5.13,2.12,1.04,1.25,0.26
Spain,50015792.0,35.0,36.0,8.0,2.5,9.0,7.0,2.0,0.5
Sudan,45561556.0,48.0,27.7,15.2,2.3,3.5,1.8,0.8,0.2
Sweden,10202491.0,32.0,37.0,10.0,5.0,6.0,7.0,2.0,1.0
Switzerland,8403994.0,35.0,38.0,8.0,4.0,6.9,7.0,1.0,0.1
Syria,19398448.0,43.0,30.0,14.0,3.7,5.0,3.0,1.0,0.3
Taiwan,23603049.0,43.9,25.9,23.9,6.0,0.28,0.01,0.01,0.01
Thailand,68977400.0,40.8,16.9,36.8,4.97,0.2,0.1,0.2,0.03
Tunisia,11811335.0,41.86,28.21,16.38,4.55,4.14,2.79,1.62,0.45
Turkey,82017514.0,29.4,38.3,13.2,6.4,4.4,5.5,2.1,0.7
Uganda,44712143.0,49.29,24.11,20.29,4.41,1.01,0.49,0.41,0.09
Ukraine,43922939.0,32.0,34.0,15.0,5.0,5.0,6.0,2.0,1.0
United Arab Emirates,9992083.0,44.1,21.9,20.9,4.3,4.3,2.1,2.0,0.4
United Kingdom,66971395.0,35.0,30.0,8.0,2.0,13.0,5.0,2.0,1.0
United States,334998398.0,37.4,35.7,8.5,3.4,9.8,4.1,1.5,0.6
Uzbekistan,30842796.0,29.42,30.93,24.98,9.27,1.68,1.77,1.42,0.53
Venezuela,28644603.0,58.3,28.2,5.6,1.9,4.0,1.5,0.4,0.1
Vietnam,98721275.0,41.7,20.9,30.8,4.98,0.3,0.1,0.2,0.02
Yemen,29884405.0,47.84,27.5,15.32,2.14,3.66,2.1,1.17,0.16
Zimbabwe,14546314.0,36.4,29.3,8.1,2.0,14.1,8.1,2.0,0.01
World,7772850805.0,38.4,27.3,8.1,2.0,14.1,8.1,2.0,0.01
